[2020-07-18 10:01:53.814] S0	S1	S2	Time	D	P	DIR	Angle	Kp	Kd	Speed	Layout
[2020-07-18 10:01:54.317] 	 300	2006	 273	  198285	 7.80	 0.02	0	  7	0.60	0.10	255	2
[2020-07-18 10:01:54.344] 	 300	1990	 272	  198305	 8.40	 3.00	0	 11	0.60	0.10	255	2
[2020-07-18 10:01:54.351] 	 300	1991	 271	  198335	 8.40	 0.00	0	  8	0.60	0.10	255	2
[2020-07-18 10:01:54.435] 	 300	2008	 271	  198355	 8.40	 0.00	0	  8	0.60	0.10	255	2
[2020-07-18 10:01:54.444] 	 300	1983	 268	  198375	 9.60	 6.00	0	 15	0.60	0.10	255	2
[2020-07-18 10:01:54.450] 	 300	1967	 272	  198395	 8.40	-6.00	0	  2	0.60	0.10	255	2
[2020-07-18 10:01:54.460] 	 300	1968	 275	  198425	 7.20	-4.00	0	  3	0.60	0.10	255	2
[2020-07-18 10:01:54.466] 	 300	1959	 280	  198445	 6.00	-6.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.478] 	 300	1968	 284	  198465	 4.80	-6.00	2	  1	0.60	0.10	255	2
[2020-07-18 10:01:54.482] 	 300	1951	 287	  198495	 3.60	-4.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.488] 	 300	1954	 294	  198515	 1.80	-9.00	2	  7	0.60	0.10	255	2
[2020-07-18 10:01:54.493] 	 300	1933	 294	  198535	 1.80	 0.00	0	  1	0.60	0.10	255	2
[2020-07-18 10:01:54.496] 	 300	1935	 296	  198565	 1.20	-2.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.506] 	 300	1917	 299	  198585	 0.00	-6.00	2	  6	0.60	0.10	255	2
[2020-07-18 10:01:54.509] 	 300	1907	 300	  198605	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.513] 	 300	1880	 300	  198635	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.530] 	 300	1860	 300	  198655	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.530] 	 300	1852	 300	  198675	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.530] 	 300	1822	 300	  198705	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.530] 	 300	1824	 300	  198725	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.530] 	 300	1778	 300	  198746	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.530] 	 300	1751	 300	  198776	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.646] 	 300	1744	 300	  198796	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.646] 	 300	1709	 300	  198816	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.646] 	 300	1673	 300	  198846	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.646] 	 300	1661	 300	  198866	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.646] 	 300	1617	 300	  198886	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.682] 	 300	1582	 300	  198916	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.682] 	 300	1565	 300	  198936	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.682] 	 300	1525	 300	  198957	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.682] 	 300	1497	 300	  198986	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.682] 	 300	1472	 300	  199006	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.701] 	 300	1013	 300	  199307	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.733] 	 300	 978	 300	  199337	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.806] 	 300	 938	 300	  199357	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.829] 	 300	 897	 300	  199387	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.833] 	 300	 855	 300	  199407	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.866] 	 300	 810	 300	  199428	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.894] 	 300	 767	 300	  199458	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.904] 	 300	 724	 300	  199478	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.978] 	 300	 673	 300	  199498	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:54.994] 	 300	 630	 300	  199518	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:55.009] 	 300	 591	 300	  199548	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:55.058] 	 300	 552	 300	  199568	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:55.064] 	 300	 515	 300	  199588	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:55.078] 	 300	 482	 300	  199618	 0.00	 0.00	1	  0	0.60	0.10	255	2
[2020-07-18 10:01:55.099] 	 299	 449	 300	  199638	-0.60	-3.00	2	  3	0.60	0.10	255	2
[2020-07-18 10:01:55.108] 	 294	 418	 300	  199659	-1.80	-5.71	2	  7	0.60	0.10	255	2
[2020-07-18 10:01:55.135] 	 293	 389	 300	  199688	-2.40	-2.07	2	  4	0.60	0.10	255	2
[2020-07-18 10:01:55.148] 	 291	 359	 300	  199708	-3.00	-3.00	2	  5	0.60	0.10	255	2
[2020-07-18 10:01:55.175] 	 291	 334	 300	  199738	-3.00	 0.00	2	  3	0.60	0.10	255	2
[2020-07-18 10:01:55.216] 	 284	 309	 300	  199758	-4.80	-9.00	2	 13	0.60	0.10	255	2
[2020-07-18 10:01:55.232] 	 286	 285	 300	  199778	-4.20	 3.00	2	  1	0.60	0.10	255	2
[2020-07-18 10:01:55.250] 	 282	 259	 300	  199808	-5.40	-4.00	2	  9	0.60	0.10	255	2
[2020-07-18 10:01:55.270] 	 281	 239	 300	  199828	-6.00	-3.00	2	  9	0.60	0.10	255	2
[2020-07-18 10:01:55.275] 	 279	 216	 300	  199848	-6.60	-3.00	2	  9	0.60	0.10	255	2
[2020-07-18 10:01:55.358] 	 280	 196	 300	  199878	-6.00	 2.00	2	  3	0.60	0.10	255	2
[2020-07-18 10:01:55.378] 	 285	 176	 300	  199898	-4.80	 6.00	0	  1	0.60	0.10	255	2
[2020-07-18 10:01:55.378] 	 300	 155	 300	  199918	 0.00	24.00	0	 24	0.60	0.10	255	2
[2020-07-18 10:01:55.380] 	 300	 139	 264	  199948	10.80	36.00	0	 46	0.60	0.10	255	2
[2020-07-18 10:01:55.398] 	 300	 124	 238	  199968	18.60	39.00	0	 57	0.60	0.10	255	2
[2020-07-18 10:01:55.428] 	 300	 109	 209	  199998	27.00	28.00	0	 55	0.60	0.10	255	2
[2020-07-18 10:01:55.443] 	 300	  94	 178	  200018	36.60	48.00	0	 84	0.60	0.10	255	2
[2020-07-18 10:01:55.460] 	 291	  79	 150	  200038	42.00	27.00	0	 68	0.60	0.10	255	2
[2020-07-18 10:01:55.489] 	 214	  74	 123	  200068	27.00	-50.00	2	 22	0.60	0.10	255	2
[2020-07-18 10:01:55.504] 	 188	  62	  99	  200088	26.40	-3.00	0	 23	0.60	0.10	255	2
[2020-07-18 10:01:55.518] 	 170	  54	  76	  200108	28.20	 9.00	0	 37	0.60	0.10	255	2
[2020-07-18 10:01:55.553] 	 157	  44	  61	  200128	28.80	 3.00	0	 31	0.60	0.10	255	2
[2020-07-18 10:01:55.575] 	 140	  38	  51	  200158	26.40	-8.00	0	 18	0.60	0.10	255	2
[2020-07-18 10:01:55.595] 	 119	  32	  50	  200178	20.40	-30.00	2	  9	0.60	0.10	255	2
[2020-07-18 10:01:55.609] 	 110	  26	  50	  200198	18.00	-12.00	0	  5	0.60	0.10	255	2
[2020-07-18 10:01:55.627] 	 102	  24	  50	  200228	15.60	-8.00	0	  7	0.60	0.10	255	2
[2020-07-18 10:01:55.642] 	 114	  26	  50	  200248	19.20	18.00	0	 37	0.60	0.10	255	2
[2020-07-18 10:01:55.755] 	 131	  24	  50	  200268	24.00	24.00	0	 47	0.60	0.10	255	2
[2020-07-18 10:01:55.755] 	 129	  27	  50	  200298	23.40	-2.00	0	 21	0.60	0.10	255	2
[2020-07-18 10:01:55.819] 	 122	  27	  50	  200318	21.60	-9.00	0	 12	0.60	0.10	255	2
[2020-07-18 10:01:55.846] 	 118	  25	  50	  200338	20.40	-6.00	0	 14	0.60	0.10	255	2
[2020-07-18 10:01:55.869] 	 120	  24	  50	  200368	21.00	 2.00	0	 22	0.60	0.10	255	2
[2020-07-18 10:01:55.914] 	 120	  23	  50	  200388	21.00	 0.00	0	 21	0.60	0.10	255	2
[2020-07-18 10:01:55.931] 	 119	  25	  50	  200408	20.40	-3.00	0	 17	0.60	0.10	255	2
[2020-07-18 10:01:55.941] 	 121	  25	  50	  200438	21.00	 2.00	0	 22	0.60	0.10	255	2
[2020-07-18 10:01:55.964] 	 126	  27	  50	  200458	22.80	 9.00	0	 31	0.60	0.10	255	2
[2020-07-18 10:01:55.978] 	 125	  26	  50	  200488	22.20	-2.00	0	 20	0.60	0.10	255	2
[2020-07-18 10:01:56.001] 	 124	  27	  50	  200508	22.20	 0.00	0	 22	0.60	0.10	255	2
[2020-07-18 10:01:56.081] 	 123	  26	  50	  200528	21.60	-3.00	0	 18	0.60	0.10	255	2
[2020-07-18 10:01:56.164] 	 126	  27	  50	  200558	22.80	 4.00	0	 26	0.60	0.10	255	2
[2020-07-18 10:01:56.196] 	 124	  27	  50	  200578	22.20	-3.00	0	 19	0.60	0.10	255	2
[2020-07-18 10:01:56.297] 	 126	  28	  50	  200598	22.80	 3.00	0	 25	0.60	0.10	255	2
[2020-07-18 10:01:56.362] 	 124	  27	  50	  200619	22.20	-2.86	0	 19	0.60	0.10	255	2
[2020-07-18 10:01:56.375] 	 126	  28	  50	  200648	22.80	 2.07	0	 24	0.60	0.10	255	2
[2020-07-18 10:01:56.499] 	 125	  29	  50	  200668	22.20	-3.00	0	 19	0.60	0.10	255	2
[2020-07-18 10:01:56.534] 	 126	  27	  50	  200698	22.80	 2.00	0	 24	0.60	0.10	255	2
